asset_id,runtime_path,runtime_sha256,base_object,base_source_member,base_alias_count,manifest_source,manifest_license_status,manifest_source_status,runtime_key,declared_consumer,declared_consumer_resolution,consumer_binding_kind,consumer_evidence,promotion_id,promotion_validation_evidence,runtime_alias_group,runtime_alias_decision,crosswalk_decision,decision_note
ui.art24.ui.ue.ui_bar_frame,Godot/GraytailGodot/assets/art24/ui/ue/ui_bar_frame.png,628C744682B92DC3D60B622215C0C616D248DA0C2BAA6339CBAAC290A3B08029,sources/base/美术素材/blobs/62/628c744682b92dc3d60b622215c0c616d248da0c2baa6339cbaac290a3b08029.png,sources/draw/20_processed/ui/raw/xuetiao_kuang.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_bar_frame.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_bar_frame,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_bar_warning,Godot/GraytailGodot/assets/art24/ui/ue/ui_bar_warning.png,5B3DE3142812279B090CBFAEAE0F3E5E1BB8A059F5BBE3446CDEC6DC3361B498,sources/base/美术素材/blobs/5b/5b3de3142812279b090cbfaeae0f3e5e1bb8a059f5bbe3446cdec6dc3361b498.png,sources/draw/20_processed/ui/raw/lingjian_icon.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_bar_warning.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_bar_warning,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_bottom_bar,Godot/GraytailGodot/assets/art24/ui/ue/ui_bottom_bar.png,17CD8C6F343B427437DC7F2FD38FCF5B207DB1ED34E47793CDDF6C45E2AFB876,sources/base/美术素材/blobs/17/17cd8c6f343b427437dc7f2fd38fcf5b207db1ed34e47793cddf6c45e2afb876.png,sources/draw/20_processed/ui/raw/kuaijie_lan.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_bottom_bar.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_bottom_bar,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd:188[godot_path=res://assets/art24/ui/ue/ui_bottom_bar.png],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_icon_backpack,Godot/GraytailGodot/assets/art24/ui/ue/ui_icon_backpack.png,392A9405F64EE4731BA7058A4A743E36550AB0CDB2468D99997DA5B56E40FBFE,sources/base/美术素材/blobs/39/392a9405f64ee4731ba7058a4a743e36550ab0cdb2468d99997da5b56e40fbfe.png,sources/draw/20_processed/ui/raw/beibao_icon.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_icon_backpack.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_icon_backpack,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/inventory/inventory_panel.gd:109[godot_path=res://assets/art24/ui/ue/ui_icon_backpack.png],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_mine_risk_tag,Godot/GraytailGodot/assets/art24/ui/ue/ui_mine_risk_tag.png,63ED297D403E441C2C292015B0C27BF404B30AC94BE19F560CD387B0586804C3,sources/base/美术素材/blobs/63/63ed297d403e441c2c292015b0c27bf404b30ac94be19f560cd387b0586804c3.png,sources/draw/20_processed/ui/raw/jiaohu_tishi.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_mine_risk_tag.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_mine_risk_tag,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd:192[asset_id=ui.art24.ui.ue.ui_mine_risk_tag],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_panel_left,Godot/GraytailGodot/assets/art24/ui/ue/ui_panel_left.png,C4A2CCB3C7525CEE4F9117891FEBBD3546302CE11ABD9C6F9154D6E39BA55766,sources/base/美术素材/blobs/c4/c4a2ccb3c7525cee4f9117891febbd3546302ce11abd9c6f9154d6e39ba55766.png,sources/draw/20_processed/ui/raw/zuoce_mianban.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_panel_left.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_panel_left,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd:167[godot_path=res://assets/art24/ui/ue/ui_panel_left.png],,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
ui.art24.ui.ue.ui_panel_protocol,Godot/GraytailGodot/assets/art24/ui/ue/ui_panel_protocol.png,1BC45EF20062431C0381672370523661EB3A92CD478467E06B0D4FA4E448048C,sources/base/美术素材/blobs/1b/1bc45ef20062431c0381672370523661eb3a92cd478467e06b0d4fa4e448048c.png,sources/draw/20_processed/ui/raw/xieyi_mianban.png,1,ue_prototype@de4ece1163505d9fe08e31cd0dbe10477909f963:assets/ui/hud/ui_panel_protocol.png,same_project_audited,art24_ue_audited_import,visual.art24.ui.ue.ui_panel_protocol,scripts/ui/run_surface/run_surface.gd,scripts/ui/run_surface/run_surface.gd=>Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd[production],no_production_consumer,no_production_consumer_proven,,,,,existing_stage_evidence_backfilled,Existing audited runtime lineage is cross-referenced; Base remains source-only.
item.consumable.medkit,Godot/GraytailGodot/assets/items/consumable/item_consumable_medkit.png,EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90,sources/base/美术素材/blobs/ec/ec58bae34f8cbd3612e8b9dc2326285126ba1cc34bd20246cf1bb78ac7aabb90.png,sources/draw/20_processed/item_consumable/item_consumable_medkit.png,5,Base Art/05_export_runtime_candidates/art07_first_batch/item_consumable/item_consumable_medkit.png,internal_staged,staged_pending_review,art08.item.consumable.medkit,,,dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:60[asset_id=item.consumable.medkit],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
item.consumable.syringe,Godot/GraytailGodot/assets/items/consumable/item_consumable_syringe.png,1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45,sources/base/美术素材/blobs/1d/1d103d257dfa58adf097be31493dc94906836857df6431b6d42065ea61fcdb45.png,sources/draw/20_processed/item_consumable/item_consumable_syringe.png,5,Base Art/05_export_runtime_candidates/art07_first_batch/item_consumable/item_consumable_syringe.png,internal_staged,staged_pending_review,art08.item.consumable.syringe,,,dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:62[asset_id=item.consumable.syringe],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
item.equipment.flashlight,Godot/GraytailGodot/assets/items/equipment/item_equipment_flashlight.png,339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35,sources/base/美术素材/blobs/33/339826acf7ceb1736b2a3d4b172022b0cd1ace084ac49feaa2df65d5793c4a35.png,sources/draw/20_processed/item_equipment/item_equipment_flashlight.png,5,Base Art/05_export_runtime_candidates/art07_first_batch/item_equipment/item_equipment_flashlight.png,internal_staged,staged_pending_review,art08.item.equipment.flashlight,,,dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:63[asset_id=item.equipment.flashlight],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
