object_sha256,repository_object,extension,media_kind,semantic_family,lifecycle_role,canonical_source_member,alias_count,source_layers,distinct_names,same_name_other_sha_count,runtime_match_count,runtime_paths,base_authority,rights_status,review_status,runtime_admission,semantic_decision,decision_note
001219FF107548FE3C12FB9DB8EFB3813153E172ECCD377899E83759EA173A01,sources/base/美术素材/blobs/00/001219ff107548fe3c12fb9db8efb3813153e172eccd377899e83759ea173a01.png,.png,image,reference_capture,stage_evidence,sources/art/ART-13/屏幕截图 2026-06-28 191702.png,1,stage_output,屏幕截图 2026-06-28 191702.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
00276660501B46B6C4C099D994F3D9A74904C76A33EF99E92209713DECDF22CA,sources/base/美术素材/blobs/00/00276660501b46b6c4c099d994f3d9a74904c76a33ef99e92209713decdf22ca.png,.png,image,map,game_ready_source;processed_source;runtime_candidate;selected_source,sources/draw/20_processed/map_tile_icon/map_tile_explored.png,4,03_selected;05_export_runtime_candidates;20_processed;30_game_ready,map_tile_explored.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
006E007BE2194FE166AD78DFDD357CE294FD40FF02F4D7437AF13AFC741429EB,sources/base/美术素材/blobs/00/006e007be2194fe166ad78dfdd357ce294fd40ff02f4d7437af13afc741429eb.png,.png,image,uncategorized_image,working_candidate,sources/draw/10_working/candidates/3/3_candidate_057.png,1,10_working,3_candidate_057.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
0071F07723ED9D7C57D2BF49AC1EF3B9139843D04AF269DC25F4892123024C85,sources/base/美术素材/blobs/00/0071f07723ed9d7c57d2bf49ac1ef3b9139843d04af269dc25f4892123024c85.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zujian2/Zujian2_candidate_013.png,1,10_working,Zujian2_candidate_013.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
00AB60E5F51AD707EB34E0D2F05B9B00021BD6A1BA2FC88D7F59A04B1EDE60DF,sources/base/美术素材/blobs/00/00ab60e5f51ad707eb34e0d2f05b9b00021bd6a1ba2fc88d7f59a04b1ede60df.png,.png,image,item,processed_source,sources/draw/20_processed/item_recovered/item_evac_device_lit.png,1,20_processed,item_evac_device_lit.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
00F516980F01FC7FFC8057A70B5BE140C42A4F2D2571BDB3D892E37AF63C343E,sources/base/美术素材/blobs/00/00f516980f01fc7ffc8057a70b5be140c42a4f2d2571bdb3d892e37af63c343e.png,.png,image,deploy,stage_evidence,sources/art/ART-21/03_cut_output/deploy/ui_art21_deploy_summary_panel_frame.png,2,stage_output,ui_art21_deploy_summary_panel_frame.png,0,1,res://assets/ui/art21/deploy/ui_art21_deploy_summary_panel_frame.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285,sources/base/美术素材/blobs/01/016d4065bfbe7ca6406816f6bba786c31f9d8cc2eacdd637a5257b822582e285.png,.png,image,deploy,game_ready_source;processed_source;runtime_candidate;selected_source;stage_evidence,sources/draw/20_processed/ui_deploy_icon/ui_icon_compass.png,5,03_selected;05_export_runtime_candidates;20_processed;30_game_ready;stage_output,ui_icon_compass.png,0,1,res://assets/ui/deploy/icons/ui_icon_compass.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
029D70D4595463C97AE0611ECD63574C89E966BAC17A230E5FAF096D85690D90,sources/base/美术素材/blobs/02/029d70d4595463c97ae0611ecd63574c89e966bac17a230e5faf096d85690d90.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/3/3_candidate_075.png,1,10_working,3_candidate_075.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
02C9B05C349FA42A123C2DFE84634543928605E35FC896D46F56FA29DAED775F,sources/base/美术素材/blobs/02/02c9b05c349fa42a123c2dfe84634543928605e35fc896d46f56fa29daed775f.png,.png,image,uncategorized_image,working_candidate,sources/draw/10_working/candidates/3/3_candidate_098.png,1,10_working,3_candidate_098.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
02D14B725826DA29DF025A65DD662ACC35683C6A9D60189AF284B389B11DD574,sources/base/美术素材/blobs/02/02d14b725826da29df025a65dd662acc35683c6a9d60189af284b389b11dd574.csv,.csv,table,source_registry,stage_evidence,sources/art/ART-21R2/_manifest/modal_control_staging_manifest.csv,1,stage_output,modal_control_staging_manifest.csv,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,source_support_not_runtime_art,"Registry, metadata, document, or other support object."
02EE662BC4F0D4E6B3FDE8C42372449C20F9410CCC54B515209876BAA823E356,sources/base/美术素材/blobs/02/02ee662bc4f0d4e6b3fde8c42372449c20f9410ccc54b515209876baa823e356.png,.png,image,deploy,stage_evidence,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_consumable_syringe.png,1,stage_output,deploy_equipment_slot_item_consumable_syringe.png,0,1,res://assets/ui/art20/deploy/icons/deploy_equipment_slot_item_consumable_syringe.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
03268285DC65DD97B925C847ABA971B99F5DB62AF4FA33015B854DAADBAB5B73,sources/base/美术素材/blobs/03/03268285dc65dd97b925c847aba971b99f5db62af4fa33015b854daadbab5b73.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe2/Zuhe2_candidate_027.png,1,10_working,Zuhe2_candidate_027.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
03CB44E292793CE64EAE9A42E507704CAC91418D25ABAF4EBEF563E26C9437BC,sources/base/美术素材/blobs/03/03cb44e292793ce64eae9a42e507704cac91418d25abaf4ebef563e26c9437bc.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/mao/frames/05_back_walk_1.png,3,20_processed;30_game_ready;art_other,05_back_walk_1.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
03D0AC080295A209DA0B1918A50BB238DC74183E91B8F6CC24AFC836F854942C,sources/base/美术素材/blobs/03/03d0ac080295a209da0b1918a50bb238dc74183e91b8f6cc24afc836f854942c.png,.png,image,ui_component,stage_evidence,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_t_normal.png,1,stage_output,ui_shared_keycap_t_normal.png,0,1,res://assets/ui/art20/shared/keycaps/ui_shared_keycap_t_normal.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
03EDE6DF183A8ECF4B13C04C935D8B3F978743E26C50B7C9E2822956DE410730,sources/base/美术素材/blobs/03/03ede6df183a8ecf4b13c04c935d8b3f978743e26c50b7c9e2822956de410730.png,.png,image,deploy,processed_source,sources/draw/20_processed/ui_deploy_icon/ui_icon_escape_time.png,1,20_processed,ui_icon_escape_time.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
041C5C3E20F6D3F88A70F147AF3A89A7A42EC2F824DFB04F2E5E6644FD6CF225,sources/base/美术素材/blobs/04/041c5c3e20f6d3f88a70f147af3a89a7a42ec2f824dfb04f2e5e6644fd6cf225.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/1/1_candidate_014.png,1,10_working,1_candidate_014.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
048E043D6E12078EFAF14AA601F3F95D3C3C51C3CCB193383909421FDA02DCC1,sources/base/美术素材/blobs/04/048e043d6e12078efaf14aa601f3f95d3c3c51c3ccb193383909421fda02dcc1.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/3/3_candidate_094.png,1,10_working,3_candidate_094.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
05346CDB918B7956130B95532F5B98EC86E9A4FEE792E36176AC5BCC50F67643,sources/base/美术素材/blobs/05/05346cdb918b7956130b95532f5b98ec86e9a4fee792e36176ac5bcc50f67643.png,.png,image,ui_component,game_ready_source;processed_source,sources/draw/20_processed/ui_title_plate/ui_title_signal_lost.png,2,20_processed;30_game_ready,ui_title_signal_lost.png,0,1,res://assets/ui/result/ui_title_signal_lost.png,base_source_evidence_only,pending_verification,pending_review,not_admitted,runtime_crosswalk_required,Exact runtime bytes exist; authority is decided per runtime row.
05F08CFAE8BDFBE483DDC935DD8F2C3C37297DD04AD5AC12EE50B8D35469408C,sources/base/美术素材/blobs/05/05f08cfae8bdfbe483ddc935dd8f2c3c37297dd04ad5ac12ee50b8d35469408c.png,.png,image,ui_component,processed_source,sources/draw/20_processed/ui/raw/tishi_kuang.png,1,20_processed,tishi_kuang.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
061391FA376DDF93C730AE8501606E90E9E448E096451827609CA44904DFC5E2,sources/base/美术素材/blobs/06/061391fa376ddf93c730ae8501606e90e9e448e096451827609ca44904dfc5e2.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe2/Zuhe2_candidate_109.png,1,10_working,Zuhe2_candidate_109.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
