file_name,source_member,sha256,bytes,repository_path,retention_reason,content_policy,authority
00_文档索引与权威归属.md,sources/docs/00_文档索引与权威归属.md,343B415B2EC6DC267DEBFC68200C0C782690121670033546E0C23F13616765BE,9743,sources/base/原始策划案/00_文档索引与权威归属.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
G16后工程架构评估与G17路线总结.md,sources/docs/G16后工程架构评估与G17路线总结.md,6A3048B8B08F050A8974897E95C8388EBD241CB8D58AE1283A6A0A2DD3196BBA,45022,sources/base/原始策划案/G16后工程架构评估与G17路线总结.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
M5数值以及文案策划案.md,sources/docs/M5数值以及文案策划案.md,384DCE82196414F58A19F7083FDD93AA6DD35EB6D2FFEFF49CB5669E9D2696F9,20002,sources/base/原始策划案/M5数值以及文案策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
UI修改策划案.txt,sources/docs/UI修改策划案.txt,42CE3CE2C6346DAE8721B6604615A6CC3130A9A433099FBD96F9621FFC34954D,20638,sources/base/原始策划案/UI修改策划案.txt,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
主模块修改策划案.txt,sources/docs/主模块修改策划案.txt,1C4E41B51E76C1449CC8E669818D93DC0AD849DDAE39841E64C2D2AEE97EF997,25073,sources/base/原始策划案/主模块修改策划案.txt,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
主菜单策划案.md,sources/docs/主菜单策划案.md,F9738188D2EB30175C458AFDDED0FEB0EA7E74B50D6957F69CC30E80622B7581,17227,sources/base/原始策划案/主菜单策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
出发探索界面与出勤准备规则策划修正案.md,sources/docs/出发探索界面与出勤准备规则策划修正案.md,5779DFE22784A3B850A34BA2C266F24FBB692B7F3CDA5F3E68C7C6298E3F881D,37135,sources/base/原始策划案/出发探索界面与出勤准备规则策划修正案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
出发探索界面与出勤准备规则策划案.md,sources/docs/出发探索界面与出勤准备规则策划案.md,E5ADD53A825943408E54CEF83C194B77F9AB2925CDA771C3D9651FF334DBC648,24022,sources/base/原始策划案/出发探索界面与出勤准备规则策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
可行性判断.md,sources/docs/可行性判断.md,375D8091955982252C599C11AA99BDB7BBD5475DE936554283E277FBDA088608,39197,sources/base/原始策划案/可行性判断.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
局内地图本体与生成规则策划案.md,sources/docs/局内地图本体与生成规则策划案.md,D3515AC3A5BD37E42AE19F1218F7A033877E5144121CE06EA3A06E91C9BB3F28,38073,sources/base/原始策划案/局内地图本体与生成规则策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
局内流程与状态流转规则策划案.md,sources/docs/局内流程与状态流转规则策划案.md,54AC0936ECE4290FDDD416429AD5A9BA80AADE6C6F0129B164E17ADE594DD286,26120,sources/base/原始策划案/局内流程与状态流转规则策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
战斗房与怪物遭遇通用规则策划案.md,sources/docs/战斗房与怪物遭遇通用规则策划案.md,90D984DD43DFA72D9E8923DF129FD51E72532BA0D8ED653784EC35F8D0409A84,37509,sources/base/原始策划案/战斗房与怪物遭遇通用规则策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
截至26.6.22报告.md,sources/docs/截至26.6.22报告.md,9A061D0ABF6D79EA327013AA2368C78CD55803489A396081B9D21E7F1FC63F1E,30497,sources/base/原始策划案/截至26.6.22报告.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
房间类型、标签与遭遇通用规则策划案.md,sources/docs/房间类型、标签与遭遇通用规则策划案.md,881966521F3D57B328634E436532207401D7AB73CB2DD03AD913E3F88F5E43C1,25130,sources/base/原始策划案/房间类型、标签与遭遇通用规则策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
数值策划案.txt,sources/docs/数值策划案.txt,3EF6DCE11A988960AB79B97B7F4711A0A55762C501B45D2CE1443A8AC1761661,25521,sources/base/原始策划案/数值策划案.txt,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
文案策划案v0.3.txt,sources/docs/文案策划案v0.3.txt,F7ED8FBDCEACB27EA9C9F4A78033EE48E41CD60B321DC7901D4796E2278B1E0A,49115,sources/base/原始策划案/文案策划案v0.3.txt,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
最小物品包与掉落闭环内容策划案.md,sources/docs/最小物品包与掉落闭环内容策划案.md,DC7CE70E2CB1D11907B79DF046B723FE6581A00D60210C8DE84829A559918CC2,31935,sources/base/原始策划案/最小物品包与掉落闭环内容策划案.md,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
未来规划策划案.txt,sources/docs/未来规划策划案.txt,C9543FA184FBBAB04CEAA7CF7727269B6B949EEDD9814C56CD77ADDD9FAB34EA,33100,sources/base/原始策划案/未来规划策划案.txt,user-authorized original planning source; exact name and information retained,byte_exact_no_rename_no_reduction,planning_intent_requires_runtime_conflict_adjudication
