"staging_id","source_path","source_relative_path","staged_path","staged_relative_path","source_sha256","staged_sha256","source_bytes","intended_component","source_status","allowed_next_action","reason","admission_status","copy_status"
"art20_stage_001","D:\AGAME1\sources\draw\30_game_ready\item_consumable\item_consumable_medkit.png","sources/draw/30_game_ready/item_consumable/item_consumable_medkit.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\item_consumable\item_consumable_medkit.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/item_consumable/item_consumable_medkit.png","EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90","EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90","6194","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_002","D:\AGAME1\sources\draw\30_game_ready\item_consumable\item_consumable_syringe.png","sources/draw/30_game_ready/item_consumable/item_consumable_syringe.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\item_consumable\item_consumable_syringe.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/item_consumable/item_consumable_syringe.png","1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45","1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45","4756","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_003","D:\AGAME1\sources\draw\30_game_ready\item_equipment\item_equipment_flashlight.png","sources/draw/30_game_ready/item_equipment/item_equipment_flashlight.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\item_equipment\item_equipment_flashlight.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/item_equipment/item_equipment_flashlight.png","339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35","339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35","5290","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_004","D:\AGAME1\sources\draw\30_game_ready\item_equipment\item_equipment_goggles.png","sources/draw/30_game_ready/item_equipment/item_equipment_goggles.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\item_equipment\item_equipment_goggles.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/item_equipment/item_equipment_goggles.png","24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335","24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335","7090","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_005","D:\AGAME1\sources\draw\30_game_ready\main_menu\main_menu_bg_no_text.png","sources/draw/30_game_ready/main_menu/main_menu_bg_no_text.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\main_menu\main_menu_bg_no_text.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/main_menu/main_menu_bg_no_text.png","AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313","AC521358BBEFB53300C41E9B562D0610C707948DE891650B34CD037D572E4313","2904266","main_menu_background_base_hall","confirmed_existing","import_after_crop_policy","用于主菜单背景第一视觉","admitted_p0_confirmed_source","copied"
"art20_stage_006","D:\AGAME1\sources\draw\30_game_ready\ui_button_blank\ui_button_blank_dark.png","sources/draw/30_game_ready/ui_button_blank/ui_button_blank_dark.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_button_blank\ui_button_blank_dark.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_button_blank/ui_button_blank_dark.png","99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C","99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C","66360","main_menu_entry_button_primary","confirmed_existing","cut_9slice_then_import","该项只使用已确认的 ui_button_blank_dark.png；通用 primary 由 B1 单独处理","admitted_p0_confirmed_source","copied"
"art20_stage_007","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_confirm_deploy_large.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_confirm_deploy_large.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png","E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873","E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873","51391","shared_primary_gold_button_set","confirmed_existing","cut_9slice_then_import","建立通用 primary button 命名","admitted_p0_confirmed_source","copied"
"art20_stage_008","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_nav_loadout.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_loadout.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_nav_loadout.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_loadout.png","55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B","55B1B40BBC90B97A1C8FD6F0DAB23476EBCDB0E741748844A8D63F1670E0B74B","15773","deploy_primary_tabs|generic_selected_tab_set","confirmed_existing_set","import_named_tab_set|recut_or_rename_before_import","收敛 Slice 3 的 selected tab 命名风险 / 支撑顶部一级页签不换行","admitted_p0_confirmed_source","copied"
"art20_stage_009","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_nav_recovery.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_recovery.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_nav_recovery.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_recovery.png","578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A","578B1A0498EB34C117F45D78DE7A47DBFA604D2705B953E46940F4317302F02A","20026","deploy_primary_tabs|generic_selected_tab_set","confirmed_existing_set","import_named_tab_set|recut_or_rename_before_import","收敛 Slice 3 的 selected tab 命名风险 / 支撑顶部一级页签不换行","admitted_p0_confirmed_source","copied"
"art20_stage_010","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_nav_requisition.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_requisition.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_nav_requisition.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_requisition.png","7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B","7C55CD1AE2789842C4D079A7B618E84A165AD72267612A3B8642037B3C1A4C8B","15841","deploy_primary_tabs|generic_selected_tab_set","confirmed_existing_set","import_named_tab_set|recut_or_rename_before_import","收敛 Slice 3 的 selected tab 命名风险 / 支撑顶部一级页签不换行","admitted_p0_confirmed_source","copied"
"art20_stage_011","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_nav_talent_selected.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_nav_talent_selected.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png","E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0","E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0","23470","deploy_primary_tabs|generic_selected_tab_set","confirmed_existing_set","import_named_tab_set|recut_or_rename_before_import","收敛 Slice 3 的 selected tab 命名风险 / 支撑顶部一级页签不换行","admitted_p0_confirmed_source","copied"
"art20_stage_012","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_button\ui_button_nav_warehouse.png","sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_warehouse.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_button\ui_button_nav_warehouse.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_warehouse.png","28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E","28EAA56504E1F7EA3136BE8AD7478357E03C4E6C28AEB27D67C011CCE416951E","16248","deploy_primary_tabs|generic_selected_tab_set","confirmed_existing_set","import_named_tab_set|recut_or_rename_before_import","收敛 Slice 3 的 selected tab 命名风险 / 支撑顶部一级页签不换行","admitted_p0_confirmed_source","copied"
"art20_stage_013","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_icon\ui_icon_armor.png","sources/draw/30_game_ready/ui_deploy_icon/ui_icon_armor.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_icon\ui_icon_armor.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_icon/ui_icon_armor.png","29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4","29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4","6300","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_014","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_icon\ui_icon_backpack.png","sources/draw/30_game_ready/ui_deploy_icon/ui_icon_backpack.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_icon\ui_icon_backpack.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_icon/ui_icon_backpack.png","B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413","B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413","6416","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_015","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_icon\ui_icon_bandage.png","sources/draw/30_game_ready/ui_deploy_icon/ui_icon_bandage.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_icon\ui_icon_bandage.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_icon/ui_icon_bandage.png","8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9","8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9","4341","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
"art20_stage_016","D:\AGAME1\sources\draw\30_game_ready\ui_deploy_icon\ui_icon_compass.png","sources/draw/30_game_ready/ui_deploy_icon/ui_icon_compass.png","D:\AGAME1\sources\art\ART-20\01_staging_from_draw\draw_30_game_ready\ui_deploy_icon\ui_icon_compass.png","sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_icon/ui_icon_compass.png","016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285","016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285","6890","deploy_equipment_slot_and_icons","confirmed_existing_set","import_slot_and_icon_set","支撑右侧装备和消耗品区域","admitted_p0_confirmed_source","copied"
