asset_id,source_repo_path,godot_path,type,category,usage,import_preset,license_status,replacement_needed,linked_scene,linked_data,note,theme_key,presentation_role,state,variant,source_status
ui.art21.shared.panel.page_frame.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_page_frame_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_page_frame_normal.png,texture,ui_panel,ART21 reusable page frame,pixel_ui,internal_generated,false,Art10UISkinKit,shared.panel.page_frame.normal,ART21 generated component; source_sha256=64073B659BA8CF680DEC32F7B820C55F48FCE05FD5CC856C86A00231880A0410; cut_sha256=64073B659BA8CF680DEC32F7B820C55F48FCE05FD5CC856C86A00231880A0410; visual_key=shared.panel.page_frame.normal,art21.shared.panel.page_frame.normal,art21_panel,normal,art21,art21_generated_contract_component
ui.art21.shared.panel.card.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_card_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_card_normal.png,texture,ui_panel,ART21 reusable card frame,pixel_ui,internal_generated,false,Art10UISkinKit,shared.panel.card.normal,ART21 generated component; source_sha256=C33FEE068756233724BD51CEBF346ACA3A5FA1C864A6946A695688D49109E93F; cut_sha256=C33FEE068756233724BD51CEBF346ACA3A5FA1C864A6946A695688D49109E93F; visual_key=shared.panel.card.normal,art21.shared.panel.card.normal,art21_panel,normal,art21,art21_generated_contract_component
ui.art21.shared.panel.slot.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_slot_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_slot_normal.png,texture,ui_panel,ART21 reusable slot frame,pixel_ui,internal_generated,false,Art10UISkinKit,shared.panel.slot.normal,ART21 generated component; source_sha256=170A29FFFB0261C45FE8A8BEAC0FDEF33E8C771FCCBF20E3EE965C9AF25E5D33; cut_sha256=170A29FFFB0261C45FE8A8BEAC0FDEF33E8C771FCCBF20E3EE965C9AF25E5D33; visual_key=shared.panel.slot.normal,art21.shared.panel.slot.normal,art21_slot,normal,art21,art21_generated_contract_component
ui.art21.shared.panel.status_card.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_status_card_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_status_card_normal.png,texture,ui_panel,ART21 reusable status card,pixel_ui,internal_generated,false,Art10UISkinKit,shared.panel.status_card.normal,ART21 generated component; source_sha256=B9B2116FE886825B9847C3A77CB902EB1D8BB62115F6E429321B646D3B687BA6; cut_sha256=B9B2116FE886825B9847C3A77CB902EB1D8BB62115F6E429321B646D3B687BA6; visual_key=shared.panel.status_card.normal,art21.shared.panel.status_card.normal,art21_panel,normal,art21,art21_generated_contract_component
ui.art21.shared.panel.modal.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_modal_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_modal_normal.png,texture,ui_panel,ART21 reusable modal frame,pixel_ui,internal_generated,false,InventoryPanel/GroundLootPanel/ResultPanel,shared.panel.modal.normal,ART21 generated component; source_sha256=86FA60A043994FA7238FA03B0AC382525E0B6AA1F56979FFDC2D4DBA9A35D2A2; cut_sha256=86FA60A043994FA7238FA03B0AC382525E0B6AA1F56979FFDC2D4DBA9A35D2A2; visual_key=shared.panel.modal.normal,art21.shared.panel.modal.normal,art21_modal,normal,art21,art21_generated_contract_component
ui.art21.shared.panel.tooltip.normal,sources/art/ART-21/03_cut_output/shared/panels/ui_art21_shared_panel_tooltip_normal.png,res://assets/ui/art21/shared/panels/ui_art21_shared_panel_tooltip_normal.png,texture,ui_panel,ART21 reusable tooltip frame,pixel_ui,internal_generated,false,RunSurface,shared.panel.tooltip.normal,ART21 generated component; source_sha256=E58A57AD7B7D8652061DA3AAE8FBEC292A31E31E122B758A056D258955976198; cut_sha256=E58A57AD7B7D8652061DA3AAE8FBEC292A31E31E122B758A056D258955976198; visual_key=shared.panel.tooltip.normal,art21.shared.panel.tooltip.normal,art21_tooltip,normal,art21,art21_generated_contract_component
ui.art21.shared.button.primary.normal,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_normal.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_normal.png,texture,ui_panel,ART21 primary button normal,pixel_ui,internal_generated,false,Art10UISkinKit,shared.button.primary.normal,ART21 generated component; source_sha256=ECD027247D4B8F10627A6E8AF8750F7CD64F322457B9E9AD53A2104AF10C5DC7; cut_sha256=ECD027247D4B8F10627A6E8AF8750F7CD64F322457B9E9AD53A2104AF10C5DC7; visual_key=shared.button.primary.normal,art21.shared.button.primary.normal,art21_button,normal,art21,art21_generated_contract_component
ui.art21.shared.button.primary.hover,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_hover.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_hover.png,texture,ui_panel,ART21 primary button hover,pixel_ui,internal_generated,false,Art10UISkinKit,shared.button.primary.hover,ART21 generated component; source_sha256=E785AC0A2BEAA33A641FA8E003F43321F5D92AB1D90AA04733FCF81275173845; cut_sha256=E785AC0A2BEAA33A641FA8E003F43321F5D92AB1D90AA04733FCF81275173845; visual_key=shared.button.primary.hover,art21.shared.button.primary.hover,art21_button,hover,art21,art21_generated_contract_component
ui.art21.shared.button.primary.pressed,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_pressed.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_pressed.png,texture,ui_panel,ART21 primary button pressed,pixel_ui,internal_generated,false,Art10UISkinKit,shared.button.primary.pressed,ART21 generated component; source_sha256=1621C865BB79B85C3CF9746694C909CAA1628651AA96F1CA32051169E10573E4; cut_sha256=1621C865BB79B85C3CF9746694C909CAA1628651AA96F1CA32051169E10573E4; visual_key=shared.button.primary.pressed,art21.shared.button.primary.pressed,art21_button,pressed,art21,art21_generated_contract_component
ui.art21.shared.button.primary.disabled,sources/art/ART-21/03_cut_output/shared/buttons/ui_art21_shared_button_primary_disabled.png,res://assets/ui/art21/shared/buttons/ui_art21_shared_button_primary_disabled.png,texture,ui_panel,ART21 primary button disabled,pixel_ui,internal_generated,false,Art10UISkinKit,shared.button.primary.disabled,ART21 generated component; source_sha256=DC0A238D43E8FDB6476CCB01211190829A3B14C3E950DD06DF6AFA4B22D5CF92; cut_sha256=DC0A238D43E8FDB6476CCB01211190829A3B14C3E950DD06DF6AFA4B22D5CF92; visual_key=shared.button.primary.disabled,art21.shared.button.primary.disabled,art21_button,disabled,art21,art21_generated_contract_component
