export_id,candidate_id,export_path,target_runtime_role,target_size,transparent_background,animation_frames,proposed_asset_id,manifest_status,notes
EXP-STG-ART07-0002,CAND-STG-ART07-0002,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_chest.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_chest.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0004,CAND-STG-ART07-0004,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_event.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_event.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0006,CAND-STG-ART07-0006,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_exit.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=17AAA6F9A694B27CB8962AAC8339C6558D1B7D1F455E1872567FA24283A0851B;staged_sha256=17AAA6F9A694B27CB8962AAC8339C6558D1B7D1F455E1872567FA24283A0851B;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_exit.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0008,CAND-STG-ART07-0008,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_marker_flag.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=EE5C05ED66F66173A241B5CFC470458AE0C983265CEE2E9C2445CDE83AD84A25;staged_sha256=EE5C05ED66F66173A241B5CFC470458AE0C983265CEE2E9C2445CDE83AD84A25;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_marker_flag.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0010,CAND-STG-ART07-0010,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_mine.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=E569A257B1F77436468466A15D66856BA01477B7A90EDA433942B4B536354BBC;staged_sha256=E569A257B1F77436468466A15D66856BA01477B7A90EDA433942B4B536354BBC;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_mine.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0012,CAND-STG-ART07-0012,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_monster.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=D3612A9B24102986B2E9A52E2F9929F9D854EEE95DC0F0D50DB9864093B4F165;staged_sha256=D3612A9B24102986B2E9A52E2F9929F9D854EEE95DC0F0D50DB9864093B4F165;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_monster.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0014,CAND-STG-ART07-0014,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_explored.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=00276660501B46B6C4C099D994F3D9A74904C76A33EF99E92209713DECDF22CA;staged_sha256=00276660501B46B6C4C099D994F3D9A74904C76A33EF99E92209713DECDF22CA;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_explored.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0016,CAND-STG-ART07-0016,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_scanned.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=C77D134EB35289CED75E0F14FB997C7005A1ADF005DA75E6E141A68C39937F79;staged_sha256=C77D134EB35289CED75E0F14FB997C7005A1ADF005DA75E6E141A68C39937F79;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_scanned.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0018,CAND-STG-ART07-0018,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_unknown.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=B937168633B65D1B74F83CEDF9FC0F6EB859939D3A5AB4FD6762D5501A96EBED;staged_sha256=B937168633B65D1B74F83CEDF9FC0F6EB859939D3A5AB4FD6762D5501A96EBED;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_tile_icon\map_tile_unknown.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0020,CAND-STG-ART07-0020,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_e.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A;staged_sha256=819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_e.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0022,CAND-STG-ART07-0022,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_esc.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB;staged_sha256=9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_esc.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0024,CAND-STG-ART07-0024,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_f.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87;staged_sha256=EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_f.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0026,CAND-STG-ART07-0026,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_m.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD;staged_sha256=18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_m.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0028,CAND-STG-ART07-0028,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_q.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682;staged_sha256=099706289B700AEBAF7B6B679E26B2D7D8414FD624B2C7673378629582A79682;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_q.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0030,CAND-STG-ART07-0030,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_t.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47;staged_sha256=49AC601D40A4E14B5F76E5906F573C444C0A6D36EACA013B60B1B74C81DD3D47;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_key_prompt\ui_key_t.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0032,CAND-STG-ART07-0032,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_consumable\item_consumable_medkit.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90;staged_sha256=EC58BAE34F8CBD3612E8B9DC2326285126BA1CC34BD20246CF1BB78AC7AABB90;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_consumable\item_consumable_medkit.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0034,CAND-STG-ART07-0034,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_consumable\item_consumable_syringe.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45;staged_sha256=1D103D257DFA58ADF097BE31493DC94906836857DF6431B6D42065EA61FCDB45;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_consumable\item_consumable_syringe.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0036,CAND-STG-ART07-0036,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_equipment\item_equipment_flashlight.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35;staged_sha256=339826ACF7CEB1736B2A3D4B172022B0CD1ACE084AC49FEAA2DF65D5793C4A35;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_equipment\item_equipment_flashlight.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0038,CAND-STG-ART07-0038,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_equipment\item_equipment_goggles.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335;staged_sha256=24462587E2902253A8383BE61EDFA1EC3118A0FE4F1610840FD165309B80A335;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_equipment\item_equipment_goggles.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0040,CAND-STG-ART07-0040,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_recovered\item_recovered_ore.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=78860D8DC692B4D2A4F6B1F985AF885F34B478B315B121C849EA5BDACD85D574;staged_sha256=78860D8DC692B4D2A4F6B1F985AF885F34B478B315B121C849EA5BDACD85D574;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\item_recovered\item_recovered_ore.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
