cut_id,dry_run_id,page,component_id,source_relative_path,staged_relative_path,source_sha256,staged_sha256,crop_mode,crop_rect,output_path,output_relative_path,output_sha256,width,height,alpha_bounds,nine_slice,nine_slice_margin,states,asset_id_candidate,visual_key_candidate,cut_status,write_status,notes
art20_cut_001,art20_dry_001,shared,ui_panel_large_terminal_frame,sources/draw/30_game_ready/ui_panel/ui_panel_terminal_main.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_panel/ui_panel_terminal_main.png,4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC,4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC,full_source_9slice_preview,"0,0,685,583",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_panel_large_terminal_frame\ui_panel_large_terminal_frame_ui_panel_terminal_main.png,sources/art/ART-20/03_cut_output/shared/ui_panel_large_terminal_frame/ui_panel_large_terminal_frame_ui_panel_terminal_main.png,4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC,685,583,"10,13,673,571",yes,manual_review_required,"normal, selected, disabled",ui.longterm.card.collection.locked|ui.map_overlay.panel.expanded_map|ui.run_hud.left_rail.frame|ui.shared.panel.large_frame.normal,longterm.collection_card.locked|map_overlay.panel.expanded_map|run_hud.left_rail.frame|shared.panel.large_frame.normal,cut_ready_for_review,already_present_same_hash,Limit terminal_main overuse
art20_cut_002,art20_dry_002,shared,ui_panel_summary_card,sources/draw/30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,full_source_9slice_preview,"0,0,95,141",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_panel_summary_card\ui_panel_summary_card_ui_panel_deploy_summary_blank.png,sources/art/ART-20/03_cut_output/shared/ui_panel_summary_card/ui_panel_summary_card_ui_panel_deploy_summary_blank.png,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,95,141,"1,0,94,139",yes,manual_review_required,"normal, selected, warning, disabled",ui.longterm.archive.module.level.normal|ui.run_hud.status_card.pressure.normal|ui.shared.panel.summary_card.normal,longterm.archive.level.normal|run_hud.status_card.pressure.normal|shared.panel.summary_card.normal,cut_ready_for_review,already_present_same_hash,Limit deploy_summary cross-page stretch
art20_cut_003,art20_dry_003,shared,ui_button_primary_gold,sources/draw/30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_confirm_deploy_large.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,full_source_9slice_preview,"0,0,289,98",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_button_primary_gold\ui_shared_button_primary_gold_normal.png,sources/art/ART-20/03_cut_output/shared/ui_button_primary_gold/ui_shared_button_primary_gold_normal.png,E245F3D25671EAB9C11A437933FB7C8A8D79F5F2129962273AEDBB6A3E2D7873,289,98,"0,0,289,98",yes,manual_review_required,"normal, hover, selected, disabled, pressed",ui.shared.button.primary_gold.normal,shared.button.primary_gold.normal,cut_ready_for_review,already_present_same_hash,Rename from confirm_deploy if used globally
art20_cut_004,art20_dry_004,shared,ui_button_dark_secondary,sources/draw/30_game_ready/ui_button_blank/ui_button_blank_dark.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_button_blank/ui_button_blank_dark.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,full_source_9slice_preview,"0,0,321,167",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_button_dark_secondary\ui_main_menu_button_entry_primary_normal.png,sources/art/ART-20/03_cut_output/shared/ui_button_dark_secondary/ui_main_menu_button_entry_primary_normal.png,99DCED078AC8D2DBE127689D8005715F2878185B14884355BCBC4F471FD06A1C,321,167,"10,11,311,156",yes,manual_review_required,"normal, hover, selected, disabled, warning",ui.main_menu.button.entry.primary.normal,main_menu.button.entry.primary.normal,cut_ready_for_review,already_present_same_hash,Use for keybar and secondary buttons
art20_cut_005,art20_dry_005,shared,ui_tab_selected_generic,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,full_source_9slice_preview,"0,0,228,61",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_tab_selected_generic\ui_shared_tab_primary_selected.png,sources/art/ART-20/03_cut_output/shared/ui_tab_selected_generic/ui_shared_tab_primary_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,228,61,"2,0,226,60",yes,manual_review_required,"normal, selected, disabled, locked",ui.deploy.tab.loadout.normal|ui.shared.tab.primary.selected,deploy.tab.loadout.normal|shared.tab.primary.selected,cut_governance_review,already_present_same_hash,Replace talent-specific selected_tab
art20_cut_006,art20_dry_006,shared,ui_icon_slot_frame,sources/draw/30_game_ready/ui_deploy_panel/ui_frame_highlight.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_deploy_panel/ui_frame_highlight.png,6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D,6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D,transparent_bbox_preview,"0,1,95,140",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_icon_slot_frame\ui_icon_slot_frame_ui_frame_highlight.png,sources/art/ART-20/03_cut_output/shared/ui_icon_slot_frame/ui_icon_slot_frame_ui_frame_highlight.png,14DD9CE3897305487BBE71970B947E5FD456FBBD42FA502868E66612F43A61AA,96,96,"0,1,95,140",no_or_optional,,"normal, selected, locked, warning, reward, empty",ui.deploy.card.route.selected|ui.longterm.card.collection.locked|ui.shared.slot.frame.selected,deploy.route_card.selected|longterm.collection_card.locked|shared.slot.frame.selected,cut_ready_for_review,already_present_same_hash,Use for deploy inventory and longterm slots
art20_cut_007,art20_dry_007,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_e.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_e.png,819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A,819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A,transparent_bbox_preview,"13,10,56,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_e_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_e_normal.png,EA61B99A9DFA5005C60F3C9E560DA160008287A06D711CC3B9B1159BFE4A0EF8,40,40,"13,10,56,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
art20_cut_008,art20_dry_008,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_esc.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_esc.png,9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB,9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB,transparent_bbox_preview,"10,10,59,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_esc_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_esc_normal.png,EA00A6485DC0CE6D4810B9AE82E337FF1830F9E41CA83C51482D54B542864B6E,40,40,"10,10,59,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
art20_cut_009,art20_dry_009,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_f.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_f.png,EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87,EC188529DC43CB042E9EAFF489FBDFDD4B300B046B066FC666D2C4878DF98D87,transparent_bbox_preview,"10,10,53,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_f_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_f_normal.png,80ADE6B6EC07BF9DAED6AD7E44DB57383EE5D8755449376F3F6BA7DE3B3D13FA,40,40,"10,10,53,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
art20_cut_010,art20_dry_010,shared,ui_keycap_prompt_set,sources/draw/30_game_ready/ui_key_prompt/ui_key_m.png,sources/art/ART-20/01_staging_from_draw/draw_30_game_ready/ui_key_prompt/ui_key_m.png,18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD,18E737B8021ED01216132B95494A0CB7D83D71D006CC3C87AA83B103140F1FCD,transparent_bbox_preview,"10,10,53,56",D:\AGAME1\sources\art\ART-20\03_cut_output\shared\ui_keycap_prompt_set\ui_shared_keycap_m_normal.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_m_normal.png,19CD308A72911C7B2295E60E35489405A798ADB8AE38F1D89E9D5E676FAAEB94,40,40,"10,10,53,56",no,,"normal, disabled, active",ui.shared.keycap.e.normal,shared.keycap.e.normal,cut_ready_for_review,already_present_same_hash,Unify Run HUD key bar
