candidate_id,source_id,review_status,selected_by,reviewed_at,target_usage,rejection_reason,notes
CAND-R5-MM-001,SRC-R5-MM-001,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-002,SRC-R5-MM-002,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-003,SRC-R5-MM-003,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-004,SRC-R5-MM-004,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-005,SRC-R5-MM-005,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-006,SRC-R5-MM-006,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-007,SRC-R5-MM-007,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-008,SRC-R5-MM-008,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-009,SRC-R5-MM-009,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-010,SRC-R5-MM-010,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-011,SRC-R5-MM-011,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-012,SRC-R5-MM-012,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-013,SRC-R5-MM-013,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MM-014,SRC-R5-MM-014,pending_review,,,minimap_mapoverlay,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RB-001,SRC-R5-RB-001,pending_review,,,room_background,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-001,SRC-R5-RP-001,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-002,SRC-R5-RP-002,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-003,SRC-R5-RP-003,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-004,SRC-R5-RP-004,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-005,SRC-R5-RP-005,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-006,SRC-R5-RP-006,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-007,SRC-R5-RP-007,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-RP-008,SRC-R5-RP-008,pending_review,,,room_prop,,runtime_import_status=not_ready;interface_level=A
CAND-R5-PL-001,SRC-R5-PL-001,pending_review,,,player_idle_facing,,runtime_import_status=not_ready;interface_level=A
CAND-R5-PL-002,SRC-R5-PL-002,pending_review,,,player_idle_facing,,runtime_import_status=not_ready;interface_level=A
CAND-R5-PL-003,SRC-R5-PL-003,pending_review,,,player_idle_facing,,runtime_import_status=not_ready;interface_level=A
CAND-R5-PL-004,SRC-R5-PL-004,pending_review,,,player_idle_facing,,runtime_import_status=not_ready;interface_level=A
CAND-R5-UI-001,SRC-R5-UI-001,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-002,SRC-R5-UI-002,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-003,SRC-R5-UI-003,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-004,SRC-R5-UI-004,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-005,SRC-R5-UI-005,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-006,SRC-R5-UI-006,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-007,SRC-R5-UI-007,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-UI-008,SRC-R5-UI-008,pending_review,,,common_ui_resource_icon,,runtime_import_status=not_ready;interface_level=B
CAND-R5-MK-001,SRC-R5-MK-001,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MK-002,SRC-R5-MK-002,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MK-003,SRC-R5-MK-003,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MK-004,SRC-R5-MK-004,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MK-005,SRC-R5-MK-005,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-R5-MK-006,SRC-R5-MK-006,pending_review,,,marker,,runtime_import_status=not_ready;interface_level=A
CAND-STG-ART07-0001,SRC-STG-ART07-0001,pending_review,,,source_selected,,source_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_path=D:\AGAME1\Base Art\03_selected\draw_30_game_ready\map_icon\map_icon_chest.png;role=source_selected;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
CAND-STG-ART07-0002,SRC-STG-ART07-0002,pending_review,,,runtime_candidate,,source_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_sha256=98C44F105FDD348CA0042E5A3ED58B518F817B764A5ACCD98B81AA57AA29E391;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_chest.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
CAND-STG-ART07-0003,SRC-STG-ART07-0003,pending_review,,,source_selected,,source_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_path=D:\AGAME1\Base Art\03_selected\draw_30_game_ready\map_icon\map_icon_event.png;role=source_selected;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
CAND-STG-ART07-0004,SRC-STG-ART07-0004,pending_review,,,runtime_candidate,,source_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_sha256=3DB476901205887CC3025E52B91C9599404D60C2E19E140F5FC87F6AFFE2F80C;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\map_icon\map_icon_event.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
